UserTag,TimeStamp,Tweet,Replies,ReTweets,Likes
"Raghav
@Raghav7Ram
·
2m",2023-10-07T15:02:36.000Z,"#LokiSeason2OnHotstar is a very well made show, don't miss this out.",0,0,0
"Subhi
@subhi_4
·
58s",2023-10-07T15:04:25.000Z,Super duper excited to watch this can't wait to watch this #LokiSeason2OnHotstar,0,0,0
"Tina Mathur
@mathur_tinaa
·
1m",2023-10-07T15:03:55.000Z,"Loki 2 hits it out of the park,loved this one completely, everyone must watch. #LokiSeason2OnHotstar",0,0,0
"Sandeep
@Sandip7Sharma
·
3m",2023-10-07T15:02:07.000Z,"it is a treat to watch #LokiSeason2OnHotstar, you will love this.",0,0,0
"Samira
@JAYBUNIVERSE4
·
13s",2023-10-07T15:05:10.000Z,"Goosebumps while watching the first episode and I just love this beautiful series
#LokiSeason2OnHotstar",0,0,0
"Tanu sharma
@TanuSharma98
·
2m",2023-10-07T15:03:21.000Z,Loki 2 on hotstar is excellent watch and everyone must watch. Go and enjoy this one. Guys must watch this episode.. now you can watch this on hotstar #LokiSeason2OnHotstar,0,0,1
"Sonu
@Sonu32077800
·
44s",2023-10-07T15:04:38.000Z,"Really friend, you all can watch this on Hotstar, you all must watch this.
#LokiSeason2OnHotstar",0,0,0
"Sumana
@iSumana07
·
3m",2023-10-07T15:01:40.000Z,"yes everyone are loving #LokiSeason2OnHotstar, this is the best show.",0,0,0
"Ragini
@loveRagini
·
4m",2023-10-07T15:01:08.000Z,it was a wonderful experience to watch #LokiSeason2OnHotstar.,0,0,0
"NAMAN
@Naman_x_
·
2m",2023-10-07T15:03:12.000Z,Hiddleston's portrayal of Loki in #LokiSeason2OnHotstar is iconic. He brings so much depth to the character..,0,0,0
"Ƙ𝗛𝗜𝗟𝗔𝗗𝗜 𝙍Ø𝙈𝙀Ø•ⓃⓌ
@RomeoKhiladi7
·
1m",2023-10-07T15:03:43.000Z,everyone are enjoying #LokiSeason2OnHotstar this is simply one of the finest show.,0,0,0
"Juhee
@Juhee586779
·
1m",2023-10-07T15:04:09.000Z,"Everyone should watch this amazing series on Hotstar
#LokiSeason2OnHotstar",0,0,0
"Mayank
@Mayanklame
·
2m",2023-10-07T15:02:58.000Z,"Wait is over as Loki 2 is now on hotstar,this one was anticipated and is getting big love from all. #LokiSeason2OnHotstar",0,0,0
"Anjali Mishra
@mishara78891
·
1m",2023-10-07T15:03:50.000Z,"I have never seen such a fabulous and mind blowing i hope you like this
#LokiSeason2OnHotstar",0,0,0
"Aayush Yadav
@Ayushyadv11
·
52s",2023-10-07T15:04:37.000Z,"Spellbound by the amazing Loki 2,this one is now streaming and loved to the core. Go for it. #LokiSeason2OnHotstar",0,0,0
"Simran
@Simranside
·
3m",2023-10-07T15:01:38.000Z,"This one is the best of the year and Loki 2 on hotstar should not be missed,watch this one now. #LokiSeason2OnHotstar",0,0,0
"princy
@princy3_
·
1m",2023-10-07T15:03:50.000Z,We will definitely watch this season can't wait to watch this #LokiSeason2OnHotstar,0,0,0
"Srinika
@Alinara29374912
·
7m",2023-10-07T14:58:29.000Z,"Finally much awaited season is here. Check out its first episode on Hotstar. 
#LokiSeason2OnHotstar",0,0,0
"MV
@Aman_xdd
·
32s",2023-10-07T15:04:57.000Z,The episode 1 of season 2 was really amazing to watch #LokiSeason2OnHotstar,0,0,0
"Shruti
@Shruti85_
·
1m",2023-10-07T15:04:08.000Z,So happy to know about this and everyone talking about this #LokiSeason2OnHotstar,0,0,0
"भगवाधारी
@hindubhagwaraj
·
31s",2023-10-07T15:04:58.000Z,Really amazing guys  I really enjoyed this web series so much. Must watch everyone. The wait is over #LokiSeason2OnHotstar is here with its first episode. Loved it a lot.,0,0,0
"Akshay Kumar
@idont7700
·
3s",2023-10-07T15:05:28.000Z,"This is really a master peace
My favourite this is .#LokiSeason2OnHotstar",0,0,0
"Hate Me
@HateMe46804935
·
4s",2023-10-07T15:05:27.000Z,We all are eagerly exited to watch this series...#LokiSeason2OnHotstar,0,0,0
"Ruchii
@R_4_ruchi
·
2s",2023-10-07T15:05:29.000Z,Loki + Sylvie = Chaos and Romance?  Can't wait to find out! #LokiSeason2OnHotstar,0,0,0
"Rahul
@Rahul02303891
·
5s",2023-10-07T15:05:26.000Z,Really excited to watch full series on Disney Plus hotstar.#LokiSeason2OnHotstar,0,0,0
